0.03428	96.701
0.04074	104.8
0.05239	113.13
0.06194	119.8
0.06978	125.44
0.07854	129.86
0.08747	134.24
0.09261	138.23
0.10268	141.07
0.11183	144.31
0.1192	147.72
0.12815	150.93
0.13769	153.11
0.14383	155.4
0.15472	158.97
0.16482	161.56
0.17278	163.55
0.18191	165.34
0.19115	167.56
0.19782	169.57
0.20853	170.49
0.21887	171.45
0.22656	172.62
0.23542	173.54
0.24404	173.68
0.25031	174.24
0.26039	176.18
0.27119	177.72
0.27896	178.81
0.28852	180.05
0.29859	181.44
0.30623	182.42
0.31639	182.13
0.32715	181.67
0.33412	181.81
0.34309	181.95
0.35235	181.64
0.36033	181.56
0.37043	182.28
0.38145	182.69
0.3891	182.57
0.39789	182.55
0.40704	182.87
0.41512	183.51
0.42469	183.47
0.43615	183.26
0.44408	183.16
0.45341	182.9
0.4632	182.43
0.4712	181.83
0.47945	182.04
0.49081	182.66
0.49903	182.47
0.50882	182.62
0.51797	182.59
0.52605	182.93
0.53501	182.82
0.54708	182.41
0.55545	182.24
0.56527	182.05
0.57497	181.62
0.58346	180.98
0.59168	181.04
0.60296	181.34
0.61173	181.63
0.6215	181.74
0.63093	181.53
0.63918	181.33
0.64697	180.87
0.65815	180.59
0.66595	180.64
0.67481	180.21
0.68397	179.95
0.69286	179.95
0.70241	180.63
0.71458	181.21
0.72378	180.84
0.73314	180.77
0.74249	180.79
0.75169	180.69
0.75992	180.25
0.77049	180.71
0.77982	181.32
0.79066	181.39
0.80133	181.3
0.81118	180.63
